symbol,dt,open,high,low,close,volume,amount,pre_close,limit_up,limit_down,suspended,data_status,source,updated_at
510500.SH,2025-09-24T15:00:00+08:00,7.232,7.436,7.227,7.432,219453481.99999997,1613166926.0,7.277,8.005,6.549,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-09-25T15:00:00+08:00,7.43,7.478,7.415,7.441,164025033.0,1221817048.0,7.432,8.175,6.689,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-09-26T15:00:00+08:00,7.401,7.455,7.333,7.336,221003137.0,1633716966.0,7.441,8.185,6.697,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-09-29T15:00:00+08:00,7.335,7.491,7.312,7.462,332940029.0,2473026332.0,7.336,8.07,6.602,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-09-30T15:00:00+08:00,7.463,7.533,7.463,7.519,269331858.0,2022195960.0,7.462,8.208,6.716,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-10-09T15:00:00+08:00,7.553,7.678,7.54,7.649,247330431.99999997,1885985361.0,7.519,8.271,6.767,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-10-10T15:00:00+08:00,7.611,7.619,7.479,7.505,291527723.0,2197250249.0,7.649,8.414,6.884,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-10-13T15:00:00+08:00,7.29,7.488,7.29,7.469,386537681.0,2863336795.0,7.505,8.256,6.754,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-10-14T15:00:00+08:00,7.51,7.553,7.259,7.289,426016495.0,3162062367.0,7.469,8.216,6.722,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-10-15T15:00:00+08:00,7.288,7.399,7.253,7.393,246755725.0,1808574917.0,7.289,8.018,6.56,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-10-16T15:00:00+08:00,7.32,7.399,7.296,7.336,275073811.0,2020350843.0,7.393,8.132,6.654,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-10-17T15:00:00+08:00,7.318,7.359,7.102,7.114,301475375.0,2173586618.0,7.336,8.07,6.602,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
