trade_id,order_id,strategy_id,account_id,symbol,side,qty,price,commission,dt,broker_order_id,broker_trade_id
T-112,O-112,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,14900.0,5.57,20.75,2024-10-14T15:00:00+08:00,,
T-113,O-113,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,20300.0,3.891,19.75,2024-10-16T15:00:00+08:00,,
T-114,O-114,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,20300.0,4.002,20.31,2024-10-22T15:00:00+08:00,,
T-115,O-115,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,13800.0,5.838,20.14,2024-10-24T15:00:00+08:00,,
T-116,O-116,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,13800.0,5.782,19.95,2024-11-27T15:00:00+08:00,,
T-117,O-117,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,20400.0,3.96,20.2,2024-11-29T15:00:00+08:00,,
T-118,O-118,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,20400.0,4.092,20.87,2024-12-13T15:00:00+08:00,,
T-119,O-119,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,13800.0,6.001,20.7,2024-12-17T15:00:00+08:00,,
T-120,O-120,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,13800.0,5.916,20.41,2024-12-24T15:00:00+08:00,,
T-121,O-121,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,20100.0,4.072,20.46,2024-12-26T15:00:00+08:00,,
T-122,O-122,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,20100.0,4.02,20.2,2025-01-02T15:00:00+08:00,,
T-123,O-123,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,13900.0,5.843,20.3,2025-02-10T15:00:00+08:00,,
T-124,O-124,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,13900.0,5.933,20.62,2025-03-26T15:00:00+08:00,,
T-125,O-125,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,20400.0,4.027,20.54,2025-03-28T15:00:00+08:00,,
T-126,O-126,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,20400.0,3.983,20.31,2025-04-02T15:00:00+08:00,,
T-127,O-127,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,13900.0,5.62,19.53,2025-04-07T15:00:00+08:00,,
T-128,O-128,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,13900.0,5.312,18.46,2025-04-08T15:00:00+08:00,,
