symbol,interval,bar_open_time,bar_close_time,open,high,low,close,volume,quote_volume,trade_count,source
BTCUSDT,4h,2026-06-03T08:00:00Z,2026-06-03T11:59:59.999000Z,67220.03000000,67476.69000000,66656.48000000,67067.37000000,3840.69634000,257706709.99166570,737079,binance_spot_rest
BTCUSDT,4h,2026-06-03T12:00:00Z,2026-06-03T15:59:59.999000Z,67067.37000000,67244.62000000,66076.00000000,66076.01000000,4537.71513000,302861716.07437450,1390646,binance_spot_rest
BTCUSDT,4h,2026-06-03T16:00:00Z,2026-06-03T19:59:59.999000Z,66076.01000000,66373.18000000,65251.00000000,65462.00000000,4242.73831000,279402457.33799470,1109866,binance_spot_rest
BTCUSDT,4h,2026-06-03T20:00:00Z,2026-06-03T23:59:59.999000Z,65461.99000000,65860.00000000,64092.49000000,64142.75000000,5940.90622000,386323918.96368170,1368328,binance_spot_rest
BTCUSDT,4h,2026-06-04T00:00:00Z,2026-06-04T03:59:59.999000Z,64142.75000000,64540.30000000,61383.56000000,64363.49000000,16957.23407000,1069265096.35938560,2410925,binance_spot_rest
BTCUSDT,4h,2026-06-04T04:00:00Z,2026-06-04T07:59:59.999000Z,64363.49000000,64764.32000000,63492.89000000,63603.15000000,5000.68767000,320591861.74564760,1036545,binance_spot_rest
BTCUSDT,4h,2026-06-04T08:00:00Z,2026-06-04T11:59:59.999000Z,63603.15000000,63904.63000000,62205.00000000,62545.99000000,8595.49118000,540467807.65211300,1698955,binance_spot_rest
BTCUSDT,4h,2026-06-04T12:00:00Z,2026-06-04T15:59:59.999000Z,62546.00000000,64494.92000000,62392.00000000,63896.17000000,6185.98937000,394325488.19609960,1831681,binance_spot_rest
BTCUSDT,4h,2026-06-04T16:00:00Z,2026-06-04T19:59:59.999000Z,63896.16000000,64163.93000000,62944.91000000,63629.38000000,3723.72569000,236942600.73557610,1155303,binance_spot_rest
BTCUSDT,4h,2026-06-04T20:00:00Z,2026-06-04T23:59:59.999000Z,63629.38000000,63918.00000000,63106.04000000,63885.99000000,3114.04773000,197756878.80056130,924567,binance_spot_rest
BTCUSDT,4h,2026-06-05T00:00:00Z,2026-06-05T03:59:59.999000Z,63885.99000000,63978.00000000,62339.00000000,62730.00000000,4162.99809000,262536010.14096020,1225987,binance_spot_rest
BTCUSDT,4h,2026-06-05T04:00:00Z,2026-06-05T07:59:59.999000Z,62730.00000000,63688.00000000,61126.01000000,63115.99000000,10733.42354000,668376397.06524080,2270535,binance_spot_rest
BTCUSDT,4h,2026-06-05T08:00:00Z,2026-06-05T11:59:59.999000Z,63115.99000000,63259.90000000,61964.98000000,61964.99000000,4297.16406000,269110992.15668040,1142388,binance_spot_rest
BTCUSDT,4h,2026-06-05T12:00:00Z,2026-06-05T15:59:59.999000Z,61964.99000000,62457.86000000,60000.00000000,60438.01000000,14801.01342000,903329435.95028030,2679839,binance_spot_rest
BTCUSDT,4h,2026-06-05T16:00:00Z,2026-06-05T19:59:59.999000Z,60438.00000000,61547.24000000,59130.91000000,60300.24000000,13747.59231000,828648361.47734000,2680737,binance_spot_rest
BTCUSDT,4h,2026-06-05T20:00:00Z,2026-06-05T23:59:59.999000Z,60300.24000000,62000.00000000,59940.01000000,61056.47000000,7285.09665000,447020553.71282630,1659370,binance_spot_rest
BTCUSDT,4h,2026-06-06T00:00:00Z,2026-06-06T03:59:59.999000Z,61056.47000000,61530.05000000,60520.00000000,60687.04000000,2945.07914000,179762223.67041870,973252,binance_spot_rest
BTCUSDT,4h,2026-06-06T04:00:00Z,2026-06-06T07:59:59.999000Z,60687.05000000,61276.95000000,59500.00000000,61004.95000000,7062.57386000,427756115.83259640,1567097,binance_spot_rest
BTCUSDT,4h,2026-06-06T08:00:00Z,2026-06-06T11:59:59.999000Z,61004.95000000,61500.00000000,60198.00000000,60802.91000000,3473.55766000,211333241.02873740,817667,binance_spot_rest
BTCUSDT,4h,2026-06-06T12:00:00Z,2026-06-06T15:59:59.999000Z,60802.90000000,61185.26000000,60396.00000000,60784.00000000,2291.49519000,139417012.27244890,717560,binance_spot_rest
