symbol,ex_date,factor
510500.SH,2022-12-20,0.9593633592956317
510500.SH,2022-12-21,0.9591558883594281
510500.SH,2022-12-22,0.9587132289695511
510500.SH,2022-12-23,0.9585563805905716
510500.SH,2022-12-26,0.9590443686006825
510500.SH,2022-12-27,0.9593220338983051
510500.SH,2022-12-28,0.9592114208021754
510500.SH,2022-12-29,0.9591906138411834
510500.SH,2022-12-30,0.9592322065568202
510500.SH,2023-01-03,0.9597989949748745
510500.SH,2023-01-04,0.9597855227882037
510500.SH,2023-01-05,0.960179193628671
510500.SH,2023-01-06,0.9602649006622517
510500.SH,2023-01-09,0.9603436880370126
510500.SH,2023-01-10,0.9604417339706609
510500.SH,2023-01-11,0.9602583209140587
510500.SH,2023-01-12,0.9602187966185977
510500.SH,2023-01-13,0.9605522682445761
510500.SH,2023-01-16,0.9609311411362527
510500.SH,2023-01-17,0.9609819541537961
510500.SH,2023-01-18,0.9611336032388663
510500.SH,2023-01-19,0.9614890885750963
510500.SH,2023-01-20,0.9617651744463915
510500.SH,2023-01-30,0.961892664337885
510500.SH,2023-01-31,0.9619228938600666
510500.SH,2023-02-01,0.9623529411764705
510500.SH,2023-02-02,0.9624119028974157
510500.SH,2023-02-03,0.9622463426144408
510500.SH,2023-02-06,0.9620733249051833
510500.SH,2023-02-07,0.9620912967935555
510500.SH,2023-02-08,0.9618138424821002
510500.SH,2023-02-09,0.9623588456712672
510500.SH,2023-02-10,0.9622404027690371
510500.SH,2023-02-13,0.9624648107600875
510500.SH,2023-02-14,0.9625643425362659
510500.SH,2023-02-15,0.9624941397093295
510500.SH,2023-02-16,0.9619892302819132
510500.SH,2023-02-17,0.9616613418530351
510500.SH,2023-02-20,0.962252280591381
510500.SH,2023-02-21,0.9624706802189211
510500.SH,2023-02-22,0.9624354359054624
510500.SH,2023-02-23,0.9623706491063029
510500.SH,2023-02-24,0.9622878692646134
510500.SH,2023-02-27,0.9620912967935555
510500.SH,2023-02-28,0.9623352165725046
510500.SH,2023-03-01,0.9625643425362659
510500.SH,2023-03-02,0.962523422860712
510500.SH,2023-03-03,0.9625058584596157
510500.SH,2023-03-06,0.9625175698891146
510500.SH,2023-03-07,0.9619228938600666
510500.SH,2023-03-08,0.9619832092507525
510500.SH,2023-03-09,0.961941008563273
510500.SH,2023-03-10,0.9614519755862512
510500.SH,2023-03-13,0.9616674652611403
510500.SH,2023-03-14,0.9613526570048309
510500.SH,2023-03-15,0.9615507850048061
510500.SH,2023-03-16,0.9610705596107055
510500.SH,2023-03-17,0.96129656507015
510500.SH,2023-03-20,0.961177612423164
510500.SH,2023-03-21,0.9615815591483912
510500.SH,2023-03-22,0.9617895239611528
510500.SH,2023-03-23,0.9620012666244458
510500.SH,2023-03-24,0.9620493358633776
510500.SH,2023-03-27,0.9620313241575701
510500.SH,2023-03-28,0.9619349722442507
510500.SH,2023-03-29,0.9617773530817009
510500.SH,2023-03-30,0.9619771863117871
510500.SH,2023-03-31,0.9622582167007391
510500.SH,2023-04-03,0.9626342830453058
510500.SH,2023-04-04,0.9626575385094135
510500.SH,2023-04-06,0.9626517273576097
510500.SH,2023-04-07,0.9629343629343631
510500.SH,2023-04-10,0.9626865671641791
510500.SH,2023-04-11,0.9626807650443165
510500.SH,2023-04-12,0.9628079962807996
510500.SH,2023-04-13,0.9626459143968871
510500.SH,2023-04-14,0.9627329192546583
510500.SH,2023-04-17,0.9629171817058096
510500.SH,2023-04-18,0.962842545285648
510500.SH,2023-04-19,0.9626691553896407
510500.SH,2023-04-20,0.9626284646527562
510500.SH,2023-04-21,0.9617163821981177
510500.SH,2023-04-24,0.9614581660510679
510500.SH,2023-04-25,0.9608674384477417
510500.SH,2023-04-26,0.9610326351680467
510500.SH,2023-04-27,0.9611964430072758
510500.SH,2023-04-28,0.9617651744463915
510500.SH,2023-05-04,0.9617712647339918
510500.SH,2023-05-05,0.961427193828351
510500.SH,2023-05-08,0.9616674652611403
510500.SH,2023-05-09,0.9613152804642168
510500.SH,2023-05-10,0.9612465687066043
510500.SH,2023-05-11,0.9611273080660836
510500.SH,2023-05-12,0.9607458292443571
510500.SH,2023-05-15,0.961177612423164
510500.SH,2023-05-16,0.9609184171958964
510500.SH,2023-05-17,0.9609311411362527
510500.SH,2023-05-18,0.9609946367625549
510500.SH,2023-05-19,0.9610263072426112
510500.SH,2023-05-22,0.9609692632948447
510500.SH,2023-05-23,0.9605522682445761
510500.SH,2023-05-24,0.9602517389864194
510500.SH,2023-05-25,0.9601328903654486
510500.SH,2023-05-26,0.9604808167297876
510500.SH,2023-05-29,0.960435212660732
510500.SH,2023-05-30,0.9606492867683226
510500.SH,2023-05-31,0.9606040709126724
510500.SH,2023-06-01,0.9606686332350048
510500.SH,2023-06-02,0.9610009749756255
510500.SH,2023-06-05,0.9609184171958964
510500.SH,2023-06-06,0.960179193628671
510500.SH,2023-06-07,0.9602056043773837
510500.SH,2023-06-08,0.9601196410767696
510500.SH,2023-06-09,0.9604547701433515
510500.SH,2023-06-12,0.9605717102020701
510500.SH,2023-06-13,0.9606879606879607
510500.SH,2023-06-14,0.9607329842931936
510500.SH,2023-06-15,0.9610768731754784
510500.SH,2023-06-16,0.9613464325978419
510500.SH,2023-06-19,0.96129656507015
510500.SH,2023-06-20,0.9612778315585673
510500.SH,2023-06-21,0.9604808167297876
510500.SH,2023-06-26,0.9598124581379772
510500.SH,2023-06-27,0.9601130131294665
510500.SH,2023-06-28,0.9602056043773837
510500.SH,2023-06-29,0.960146130853537
510500.SH,2023-06-30,0.9606234618539787
510500.SH,2023-07-03,0.9608099281515351
510500.SH,2023-07-04,0.9608993157380253
510500.SH,2023-07-05,0.9607008351072539
510500.SH,2023-07-06,0.9604743083003953
510500.SH,2023-07-07,0.9603698811096433
510500.SH,2023-07-10,0.9605068290274806
510500.SH,2023-07-11,0.9608291170230129
510500.SH,2023-07-12,0.960435212660732
510500.SH,2023-07-13,0.9609756097560975
510500.SH,2023-07-14,0.960822722820764
510500.SH,2023-07-17,0.9607265586647031
510500.SH,2023-07-18,0.9606686332350048
510500.SH,2023-07-19,0.9606105366814377
510500.SH,2023-07-20,0.960179193628671
510500.SH,2023-07-21,0.9601990049751243
510500.SH,2023-07-24,0.9601328903654486
510500.SH,2023-07-25,0.9607714939522719
510500.SH,2023-07-26,0.9607008351072539
510500.SH,2023-07-27,0.9604286892003298
510500.SH,2023-07-28,0.9610199772616533
510500.SH,2023-07-31,0.9612653324725631
510500.SH,2023-08-01,0.96129656507015
510500.SH,2023-08-02,0.9611587635539731
510500.SH,2023-08-03,0.9612903225806452
510500.SH,2023-08-04,0.961544624258933
510500.SH,2023-08-07,0.9612903225806452
510500.SH,2023-08-08,0.9611587635539731
510500.SH,2023-08-09,0.960892944435392
510500.SH,2023-08-10,0.9608801955990219
510500.SH,2023-08-11,0.9600931160625208
510500.SH,2023-08-14,0.9601395117090183
510500.SH,2023-08-15,0.9599198396793587
510500.SH,2023-08-16,0.9596299411269974
510500.SH,2023-08-17,0.959872930948002
510500.SH,2023-08-18,0.9592391304347826
510500.SH,2023-08-21,0.9586990191017036
510500.SH,2023-08-22,0.9588900308324768
510500.SH,2023-08-23,0.9581735796444754
510500.SH,2023-08-24,0.9582898852971847
510500.SH,2023-08-25,0.9577910657755891
510500.SH,2023-08-28,0.9582536093233607
510500.SH,2023-08-29,0.9591419816138919
510500.SH,2023-08-30,0.9591489361702127
510500.SH,2023-08-31,0.9589462880602121
510500.SH,2023-09-01,0.9589883800410116
510500.SH,2023-09-04,0.9595687331536388
510500.SH,2023-09-05,0.9592737145766163
510500.SH,2023-09-06,0.9592598879646919
510500.SH,2023-09-07,0.9586847994491307
510500.SH,2023-09-08,0.9586705700017221
510500.SH,2023-09-11,0.9591419816138919
510500.SH,2023-09-12,0.9591558883594281
510500.SH,2023-09-13,0.9587416193914389
510500.SH,2023-09-14,0.9587061252580866
510500.SH,2023-09-15,0.9587132289695511
510500.SH,2023-09-18,0.9587982832618025
510500.SH,2023-09-19,0.9586206896551723
510500.SH,2023-09-20,0.9583260982809515
510500.SH,2023-09-21,0.9579905478732714
510500.SH,2023-09-22,0.9586990191017036
510500.SH,2023-09-25,0.9584631360332296
510500.SH,2023-09-26,0.9583260982809515
510500.SH,2023-09-27,0.95850622406639
510500.SH,2023-09-28,0.9585635359116021
510500.SH,2023-10-09,0.9583333333333333
510500.SH,2023-10-10,0.9581297976273552
510500.SH,2023-10-11,0.9580932425353588
510500.SH,2023-10-12,0.9584055459272098
510500.SH,2023-10-13,0.9581881533101045
510500.SH,2023-10-16,0.9577687840929087
510500.SH,2023-10-17,0.9578503688092729
510500.SH,2023-10-18,0.9573409171702808
510500.SH,2023-10-19,0.9568422945513396
510500.SH,2023-10-20,0.9565453557848996
510500.SH,2023-10-23,0.9553571428571428
510500.SH,2023-10-24,0.9558823529411764
510500.SH,2023-10-25,0.9561002377903788
510500.SH,2023-10-26,0.9562921143689675
510500.SH,2023-10-27,0.9571045576407508
510500.SH,2023-10-30,0.9574468085106385
510500.SH,2023-10-31,0.9573484983117113
510500.SH,2023-11-01,0.9572573463935886
510500.SH,2023-11-02,0.9568655643421998
510500.SH,2023-11-03,0.9571810883140053
510500.SH,2023-11-06,0.9578947368421052
510500.SH,2023-11-07,0.9579611140304783
510500.SH,2023-11-08,0.957931638913234
510500.SH,2023-11-09,0.9578429650447919
510500.SH,2023-11-10,0.9576943416181914
510500.SH,2023-11-13,0.9579242636746145
510500.SH,2023-11-14,0.958100558659218
510500.SH,2023-11-15,0.9583694709453601
510500.SH,2023-11-16,0.9579463816365866
510500.SH,2023-11-17,0.9580859238560949
510500.SH,2023-11-20,0.9583188607155262
510500.SH,2023-11-21,0.9581954363351334
510500.SH,2023-11-22,0.9576570218772054
510500.SH,2023-11-23,0.9580346214373142
510500.SH,2023-11-24,0.9576943416181914
510500.SH,2023-11-27,0.9575896801555045
510500.SH,2023-11-28,0.9577836411609499
510500.SH,2023-11-29,0.9575671852899577
510500.SH,2023-11-30,0.9574241617881853
